status,Chipset,SIM,Cardslot,CPU,GPU,Display,price[EUR],weight[g],length[mm],width[mm],thikness[mm],Internal memory[GB],Internal memory RAM[GB],Video[fps],Battery Type[mAh],Announced,OS
37,53,2,17,25,53,46,0.053699924820105244,0.13522012578616352,0.31643625192012287,0.16815034619188923,0.5333333333333332,0.0,0.0,0.0,0.18133947671548462,0.9867549668874172,0
37,53,18,17,16,53,46,0.011507126747165409,0.09853249475890985,0.24976958525345622,0.12858555885262118,0.5428571428571427,0.007874015748031496,0.0,0.0,0.08260654928418629,0.8543046357615893,0
37,53,18,73,25,53,46,0.019178544578609017,0.12159329140461217,0.282642089093702,0.14094955489614247,0.5428571428571427,0.007874015748031496,0.0,0.0,0.14020075695244363,0.814569536423841,0
37,66,23,73,25,3,3,0.04986421590438345,0.5052410901467506,0.65284178187404,0.6538081107814046,0.5999999999999999,0.023622047244094488,0.0,0.0,0.4619055454994241,0.9602649006622517,0
37,66,18,73,116,3,46,0.08822130506160147,0.12473794549266248,0.3072196620583717,0.15974282888229474,0.4761904761904762,0.05511811023622047,0.13333333333333336,0.0,0.17475728155339806,0.814569536423841,0
37,53,18,17,16,53,4,0.007671417831443608,0.09748427672955975,0.24854070660522276,0.12858555885262118,0.5428571428571427,0.0,0.0,0.0,0.08260654928418629,0.8543046357615893,5
37,53,18,73,25,53,46,0.08822130506160147,0.12159329140461217,0.282642089093702,0.14094955489614247,0.5428571428571427,0.007874015748031496,0.0,0.0,0.14020075695244363,0.814569536423841,4
37,53,125,73,28,53,22,0.06137134265154885,0.12997903563941302,0.3456221198156682,0.18743818001978246,0.42857142857142866,0.05511811023622047,0.13333333333333336,0.0,0.21178212934013493,0.814569536423841,4
37,66,18,17,25,5,4,0.026849962410052625,0.09643605870020965,0.3379416282642089,0.23738872403560835,0.2380952380952382,0.007874015748031496,0.0,0.0,0.14020075695244363,0.8543046357615893,0
37,66,2,17,25,5,46,0.053699924820105244,0.13522012578616352,0.31735791090629806,0.17309594460929772,0.5714285714285714,0.0,0.0,0.0,0.2636169162415666,0.9867549668874172,0
37,4,23,17,25,1,46,0.053699924820105244,0.350104821802935,0.5253456221198156,0.4549950544015826,0.43809523809523815,0.023622047244094488,0.06666666666666667,0.0,0.3541220997202567,0.9867549668874172,0
37,53,18,73,25,53,46,0.011507126747165409,0.12159329140461217,0.282642089093702,0.14094955489614247,0.5428571428571427,0.007874015748031496,0.0,0.0,0.14020075695244363,0.814569536423841,0
37,66,18,17,25,5,46,0.03452138024149623,0.12997903563941302,0.3102918586789554,0.17309594460929772,0.46666666666666673,0.0,0.0,0.0,0.14020075695244363,0.966887417218543,0
37,66,18,17,25,3,46,0.026849962410052625,0.12473794549266248,0.282642089093702,0.14193867457962417,0.5714285714285714,0.007874015748031496,0.0,0.0,0.14020075695244363,0.8675496688741722,0
37,66,125,17,116,3,46,0.053699924820105244,0.09433962264150944,0.30414746543778803,0.1533135509396637,0.3714285714285714,0.023622047244094488,0.06666666666666667,0.0,0.16488398881026822,0.9470198675496688,0
37,4,23,17,25,8,46,0.046028506988661635,0.34486373165618456,0.5219662058371736,0.4436201780415431,0.5333333333333332,0.023622047244094488,0.0,0.0,0.3500082277439526,0.847682119205298,0
37,4,23,73,25,8,46,0.1112355585559323,0.34360587002096443,0.5342549923195085,0.44015825914935713,0.4476190476190475,0.05511811023622047,0.06666666666666667,0.0,0.33931216060556196,0.814569536423841,0
37,66,1,17,25,5,46,0.046028506988661635,0.08805031446540881,0.2964669738863287,0.1533135509396637,0.3428571428571428,0.007874015748031496,0.0,0.0,0.14842850090505183,0.9867549668874172,0
37,66,18,73,25,5,46,0.053699924820105244,0.17924528301886794,0.3379416282642089,0.19287833827893175,0.5809523809523809,0.023622047244094488,0.06666666666666667,0.0,0.3870330755306895,0.7086092715231788,0
37,66,18,73,25,5,46,0.053699924820105244,0.14570230607966458,0.3450076804915515,0.19535113748763605,0.4761904761904762,0.007874015748031496,0.0,0.0,0.30475563600460753,0.814569536423841,0
37,66,23,73,25,3,3,0.06520705156727066,0.5052410901467506,0.65284178187404,0.6538081107814046,0.5999999999999999,0.05511811023622047,0.06666666666666667,0.0,0.4619055454994241,0.9602649006622517,0
37,66,2,17,116,3,46,0.07671417831443607,0.14465408805031446,0.33579109062980034,0.20969337289812073,0.43809523809523815,0.023622047244094488,0.06666666666666667,0.0,0.197794964620701,0.9867549668874172,0
37,4,23,73,25,8,3,0.07287846939871427,0.5387840670859538,0.663594470046083,0.6824925816023739,0.5523809523809522,0.023622047244094488,0.06666666666666667,0.0,0.4619055454994241,0.847682119205298,0
37,66,18,17,25,5,46,0.019178544578609017,0.10377358490566038,0.312442396313364,0.16419386745796244,0.42857142857142866,0.007874015748031496,0.0,0.0,0.14020075695244363,0.7218543046357616,0
161,19,125,73,116,10,21,0.10049173788299554,0.5220125786163522,0.6460829493087558,0.6320474777448073,0.25714285714285706,0.2440944881889764,0.33333333333333337,0.0,0.6338653941089354,0.02649006622516556,0
