@RELATION devices

@ATTRIBUTE "status" {"Available","Cancelled","Coming","Discontinued"}
@ATTRIBUTE "OS" {"Android","Android Wear OS","Chrome OS","MagicOS","Microsoft Windows","Microsoft Windows Phone","Proprietary OS","iOS","iPadOS","watchOS"}
@ATTRIBUTE "Chipset" {"Allwinner","Apple","Exynos","Intel","Mediatek","Qualcomm","Rockchip"}
@ATTRIBUTE "SIM" {"Hybrid","Micro","Mini","Nano","No","Single","Triple","Yes","eSIM"}
@ATTRIBUTE "Cardslot" {"No","Unspecified","microSDHC","microSDXC"}
@ATTRIBUTE "CPU" {"10-core","5-core","8-core","9-core","Dual-core","Hexa-core","Octa-core","Penta-core","Quad-core","Unknown"}
@ATTRIBUTE "GPU" {"Adreno","Apple","Arm","IMG","Immortalis-G720","Immortalis-G925","Intel","Mali","Mali-400","Mali-400MP2","Mali-450MP4","Mali-G52","Mali-G57","Mali-G615","Mali-G68","Mali-G720","Mali-T720","Mali-T720MP2","Mali-T720MP3","Mali-T720MP4","Mali-T760MP2","PowerVR","Unknown","Xclipse"}
@ATTRIBUTE "Display" {"AMOLED","Dynamic AMOLED 2X","Dynamic LTPO AMOLED 2X","Foldable Dynamic LTPO AMOLED 2X","Foldable LTPO AMOLED","Foldable LTPO OLED","IPS LCD","LED-backlit IPS LCD","LTPO AMOLED","LTPO AMOLED 2X","LTPO OLED","LTPO Super Retina XDR OLED","Liquid Retina IPS LCD","Liquid Retina XDR mini-LED LCD","OLED","PLS LCD","Retina IPS LCD","Retina LTPO OLED","Retina LTPO2 OLED","Retina LTPO3 OLED","Super AMOLED","Super AMOLED+","Super Retina XDR OLED","TFT","TFT LCD","Tri-foldable Dynamic LTPO AMOLED 2X","Ultra Retina Tandem OLED"}
@ATTRIBUTE "price[EUR]" NUMERIC
@ATTRIBUTE "weight[g]" NUMERIC
@ATTRIBUTE "length[mm]" NUMERIC
@ATTRIBUTE "width[mm]" NUMERIC
@ATTRIBUTE "thikness[mm]" NUMERIC
@ATTRIBUTE "Internal memory[GB]" NUMERIC
@ATTRIBUTE "Internal memory RAM[GB]" NUMERIC
@ATTRIBUTE "Video[fps]" NUMERIC
@ATTRIBUTE "Battery Type[mAh]" NUMERIC
@ATTRIBUTE "Announced" STRING

@DATA
"Available","watchOS","Apple","eSIM","No","Dual-core","PowerVR","Retina LTPO OLED",330,42.3,45.0,38.0,10.7,32,1,?,308,"2022-09-07"
"Available","iPadOS","Apple","eSIM","No","5-core","Apple","Liquid Retina IPS LCD",400,477,248.6,179.5,7.0,128,6,?,?,"2025-03-04"
"Available","iPadOS","Apple","eSIM","No","9-core","Apple","Ultra Retina Tandem OLED",1450,579,281.6,215.5,5.1,256,12,?,10290,"2025-10-16"
"Available","watchOS","Apple","eSIM","No","Dual-core","PowerVR","Retina LTPO3 OLED",799.0,34.6,46.0,39.0,9.7,64,?,?,?,"2025-09-09"
"Available","iOS","Apple","Nano","No","Hexa-core","Apple","LTPO Super Retina XDR OLED",796.0,199,149.6,71.5,8.3,128,8,?,3582,"2024-09-09"
"Available","iOS","Apple","Nano","No","Hexa-core","Apple","Super Retina XDR OLED",478.99,201,160.9,77.8,7.8,128,6,?,4383,"2023-09-12"
"Available","iOS","Apple","Nano","No","Hexa-core","Apple","Super Retina XDR OLED",356.0,203,160.8,78.1,7.8,128,6,?,4323,"2022-09-07"
"Available","iOS","Apple","Nano","No","Hexa-core","Apple","Super Retina XDR OLED",439.79,171,147.6,71.6,7.8,128,6,?,3349,"2023-09-12"
"Available","iPadOS","Apple","eSIM","No","Hexa-core","Apple","Liquid Retina IPS LCD",600,293,195.4,134.8,6.3,128,8,?,5078,"2024-10-15"
"Available","iOS","Apple","Nano","No","Hexa-core","Apple","Super Retina XDR OLED",619.99,199,160.9,77.8,7.8,128,8,?,4674,"2024-09-09"
"Available","iOS","Apple","Nano","No","Hexa-core","Apple","LTPO Super Retina XDR OLED",479.99,240,160.7,77.6,7.9,128,6,?,4323,"2022-09-07"
"Available","iPadOS","Apple","eSIM","No","Octa-core","Apple","Liquid Retina IPS LCD",950,617,280.6,214.9,6.1,128,8,?,9705,"2024-05-07"
"Available","iOS","Apple","Nano","No","Hexa-core","Apple","LTPO Super Retina XDR OLED",1155.1,206,150.0,71.9,8.8,256,12,?,3998,"2025-09-09"
"Available","watchOS","Apple","eSIM","No","Dual-core","PowerVR","Retina LTPO OLED",229.0,26.4,44.0,38.0,10.7,64,?,?,?,"2025-09-09"
"Available","watchOS","Apple","eSIM","No","Dual-core","PowerVR","Retina LTPO3 OLED",799.0,61.6,49.0,44.0,12.0,64,?,?,599,"2025-09-09"
"Available","iPadOS","Apple","eSIM","No","9-core","Apple","Ultra Retina Tandem OLED",1550,579,281.6,215.5,5.1,256,8,?,10290,"2024-05-07"
"Available","iOS","Apple","Nano","No","Hexa-core","Apple","Super Retina XDR OLED",594.99,170,147.6,71.6,7.8,128,8,?,3561,"2024-09-09"
"Available","iOS","Apple","Nano","No","Hexa-core","Apple","Super Retina XDR OLED",389.0,240,160.8,78.1,7.7,128,6,?,4352,"2021-09-14"
"Available","watchOS","Apple","eSIM","No","Dual-core","PowerVR","Retina LTPO OLED",550,61.3,49.0,44.0,14.4,32,?,?,542,"2022-09-07"
"Available","iOS","Apple","Nano","No","Hexa-core","Apple","LTPO Super Retina XDR OLED",1278.55,233,163.4,78.0,8.8,256,12,?,4823,"2025-09-09"
"Available","iPadOS","Apple","eSIM","No","Octa-core","Apple","Liquid Retina IPS LCD",950,616,280.6,214.9,6.1,128,8,?,9705,"2025-03-04"
"Available","iPadOS","Apple","Nano","No","Octa-core","Apple","Liquid Retina IPS LCD",550,461,247.6,178.5,6.1,64,8,?,7600,"2022-03-08"
"Available","iPadOS","Apple","Nano","No","Hexa-core","Apple","Liquid Retina IPS LCD",430,477,248.6,179.5,7.0,64,4,?,7606,"2022-10-18"
"Available","iOS","Apple","Nano","No","Hexa-core","Apple","LTPO Super Retina XDR OLED",662.0,221,159.9,76.7,8.3,256,8,?,4441,"2023-09-12"
"Available","iOS","Apple","eSIM","No","Hexa-core","Apple","LTPO Super Retina XDR OLED",796.17,165,156.2,74.7,5.6,256,12,?,3149,"2025-09-09"
"Available","iOS","Apple","Nano","No","Hexa-core","Apple","Super Retina XDR OLED",269.0,141,131.5,64.2,7.7,128,4,?,2438,"2021-09-14"
"Available","watchOS","Apple","eSIM","No","Dual-core","PowerVR","Retina LTPO2 OLED",499.99,61.4,49.0,44.0,14.4,64,?,?,564,"2023-09-12"
"Available","watchOS","Apple","eSIM","No","Dual-core","PowerVR","Retina LTPO OLED",190,33,44.0,38.0,10.7,32,1,?,296,"2022-09-07"
"Available","iPadOS","Apple","Nano","No","Octa-core","Apple","Liquid Retina XDR mini-LED LCD",1450,682,280.6,214.9,6.4,128,8,?,10758,"2022-10-18"
"Available","iPadOS","Apple","eSIM","No","9-core","Apple","Ultra Retina Tandem OLED",1200,444,249.7,177.5,5.3,256,8,?,8160,"2024-05-07"
"Available","iOS","Apple","Nano","No","Hexa-core","Apple","Super Retina XDR OLED",324.8,172,146.7,71.5,7.8,128,6,?,3279,"2022-09-07"
"Available","iPadOS","Apple","eSIM","No","Octa-core","Apple","Liquid Retina IPS LCD",700,460,247.6,178.5,6.1,128,8,?,7606,"2025-03-04"
"Available","watchOS","Apple","eSIM","No","Dual-core","PowerVR","Retina LTPO OLED",340,32,45.0,38.0,10.7,32,1,?,308,"2022-09-07"
"Available","iPadOS","Apple","Nano","No","Octa-core","Apple","Liquid Retina IPS LCD",1050,466,247.6,178.5,5.9,128,8,?,7538,"2022-10-18"
"Available","watchOS","Apple","eSIM","No","Dual-core","PowerVR","Retina LTPO3 OLED",303.9,29.3,46.0,39.0,9.7,64,?,?,327,"2024-09-09"
"Available","watchOS","Apple","eSIM","No","Dual-core","PowerVR","Retina LTPO OLED",630,42.3,45.0,38.0,10.7,64,?,?,308,"2023-09-12"
"Available","watchOS","Apple","eSIM","No","Dual-core","PowerVR","Retina LTPO3 OLED",356.26,29.7,46.0,39.0,9.7,64,?,?,?,"2025-09-09"
"Available","watchOS","Apple","eSIM","No","Dual-core","PowerVR","Retina LTPO3 OLED",499.0,34.4,46.0,39.0,9.7,64,?,?,327,"2024-09-09"
"Available","watchOS","Apple","eSIM","No","Dual-core","PowerVR","Retina LTPO OLED",340,31.9,45.0,38.0,10.7,64,?,?,308,"2023-09-12"
"Available","iOS","Apple","Nano","No","Hexa-core","Apple","Super Retina XDR OLED",465.0,167,146.7,71.5,7.8,128,8,?,4005,"2025-02-19"
"Available","iOS","Apple","Nano","No","Hexa-core","Apple","LTPO Super Retina XDR OLED",530.0,187,146.6,70.6,8.3,128,8,?,3274,"2023-09-12"
"Available","iPadOS","Apple","eSIM","No","9-core","Apple","Ultra Retina Tandem OLED",1100,444,249.7,177.5,5.3,256,12,?,8160,"2025-10-16"
"Available","iPadOS","Apple","Nano","No","Hexa-core","Apple","Liquid Retina IPS LCD",550,293,195.4,134.8,6.3,64,4,?,5078,"2021-09-14"
"Available","iPadOS","Apple","eSIM","No","Octa-core","Apple","Liquid Retina IPS LCD",700,462,247.6,178.5,6.1,128,8,?,7606,"2024-05-07"
"Available","iOS","Apple","Nano","No","Hexa-core","Apple","LTPO Super Retina XDR OLED",857.51,227,163.0,77.6,8.3,256,8,?,4685,"2024-09-09"
"Available","iOS","Apple","Nano","No","Hexa-core","Apple","Super Retina XDR OLED",270.86,174,146.7,71.5,7.7,128,4,?,3240,"2021-09-14"
"Available","iOS","Apple","Nano","No","Hexa-core","Apple","Retina IPS LCD",149.99,144,138.4,67.3,7.3,64,4,?,2018,"2022-03-08"
"Available","iOS","Apple","Nano","No","Hexa-core","Apple","LTPO Super Retina XDR OLED",425.0,206,147.5,71.5,7.9,128,6,?,3200,"2022-09-07"
"Available","iOS","Apple","Nano","No","Hexa-core","Apple","LTPO Super Retina XDR OLED",795.0,177,149.6,71.5,8.0,256,8,?,3692,"2025-09-09"
"Available","iOS","Apple","Nano","No","Hexa-core","Apple","Super Retina XDR OLED",371.99,204,146.7,71.5,7.7,128,6,?,3095,"2021-09-14"
"Available","Android","Qualcomm","Nano","microSDXC","Octa-core","Adreno","AMOLED",?,188,162.9,76.3,7.5,128,8,30,7000,"2025-12-01"
"Available","Android","Mediatek","Nano","No","Octa-core","IMG","AMOLED",293.79,171,161.0,74.6,7.3,256,8,30,5230,"2025-04-03"
"Available","Android","Mediatek","Nano","microSDXC","Octa-core","Mali-G52","TFT LCD",80,186,167.0,77.0,7.9,64,4,30,5260,"2025-09-24"
"Available","Android","Qualcomm","Nano","No","Octa-core","Adreno","LTPO OLED",540,205,157.1,74.0,8.0,256,12,?,7000,"2025-10-15"
"Available","Android","Qualcomm","Nano","No","Octa-core","Adreno","LTPO OLED",1029.0,219,161.2,75.0,8.3,256,12,?,7100,"2025-10-15"
"Available","Android","Qualcomm","Nano","No","Octa-core","Adreno","AMOLED",420,204,156.3,74.7,7.8,256,12,?,7200,"2025-06-02"
"Available","Android","Qualcomm","No","No","Octa-core","Adreno","TFT LCD",210,475,267.3,167.4,6.8,128,6,30,8300,"2025-03-21"
"Available","Proprietary OS",?,"No","No","Unknown","Unknown","AMOLED",60,29,45.7,40.2,10.0,?,?,?,360,"2025-11-24"
"Available","Android","Mediatek","Nano","microSDXC","Octa-core","Mali-G52","TFT LCD",130,199,164.0,75.6,8.4,128,6,30,5300,"2025-06-06"
"Available","Android","Qualcomm","Nano","No","Octa-core","Adreno","TFT LCD",140,206,166.9,76.8,8.2,128,6,30,6500,"2025-09-24"
"Available","Android","Qualcomm","Nano","microSDXC","Octa-core","Adreno","TFT LCD",150,496,256.9,168.5,7.3,128,4,30,10100,"2026-02-13"
"Available","Android","Qualcomm","Nano","No","Octa-core","Adreno","AMOLED",541.0,205,160.8,76.1,8.1,256,12,?,5300,"2025-05-22"
"Available","Android","Qualcomm","Nano","No","Octa-core","Adreno","Foldable LTPO AMOLED",1344.0,217,156.8,145.9,4.1,256,12,?,5820,"2025-07-02"
"Available","Android","Qualcomm","Nano","No","Octa-core","Adreno","AMOLED",299.0,184,156.5,74.6,7.3,256,8,?,5300,"2025-05-22"
"Available","Android","Mediatek","No","No","Octa-core","Mali","IPS LCD",260,480,259.1,176.1,6.1,128,8,30,10100,"2025-04-23"
"Available","Android","Mediatek","Nano","microSDXC","Octa-core","Mali-G52","TFT LCD",?,189,167.7,77.7,8.6,64,3,30,5000,"2025-09-08"
"Available","Android","Qualcomm","Nano","No","Octa-core","Adreno","AMOLED",300,193,161.9,76.1,7.8,256,8,30,8300,"2025-09-24"
"Available","Android","Qualcomm","Nano","No","Octa-core","Adreno","AMOLED",210,193,161.0,74.2,7.7,256,12,30,6300,"2025-04-22"
"Available","MagicOS",?,"No","No","Unknown","Unknown","AMOLED",90,26,44.0,44.0,9.9,4,?,?,495,"2026-01-19"
"Available","Android","Qualcomm","Nano","No","Octa-core","Adreno","AMOLED",480,229,163.1,76.6,8.3,256,12,?,10000,"2025-12-26"
"Available","Android","Qualcomm","Nano","Unspecified","Octa-core","Adreno","TFT LCD",151.5,208,166.9,76.8,8.2,128,6,30,6500,"2025-08-25"
"Available","Android","Qualcomm","Nano","No","Octa-core","Adreno","TFT LCD",150,193,166.9,76.8,8.2,256,4,30,5200,"2025-08-18"
"Available","Android","Mediatek","Nano","microSDXC","Octa-core","Mali-G52","TFT LCD",?,186,167.0,77.0,7.9,64,4,30,5260,"2025-10-05"
"Available","Android","Mediatek","Nano","microSDXC","Octa-core","Mali-G52","TFT LCD",80,186,167.0,77.0,7.9,128,4,30,5260,"2025-10-23"
"Available","Android","Qualcomm","Nano","No","Octa-core","Adreno","LTPO OLED",1000,239,161.2,75.0,8.5,512,16,?,7200,"2026-01-19"
"Available","Android","Mediatek","Nano","No","Octa-core","Arm","LTPO OLED",?,155,150.5,71.9,6.1,256,12,?,5500,"2026-01-19"
"Available","Android","Qualcomm","Nano","No","Octa-core","Adreno","AMOLED",350.09,189,161.9,76.1,7.8,256,8,30,7500,"2025-12-08"
"Available","Android","Qualcomm","No","No","Octa-core","Adreno","IPS LCD",300,532,277.8,190.9,6.0,128,8,?,10100,"2025-07-15"
"Available","Android","Qualcomm","Nano","No","Octa-core","Adreno","AMOLED",330,198,155.8,74.2,7.8,256,12,?,8000,"2025-11-24"
"Available","MagicOS",?,"eSIM","No","Unknown","Unknown","LTPO AMOLED",170,51,46.3,46.3,11.3,8,?,?,515,"2025-10-15"
"Available","Android","Qualcomm","Nano","No","Octa-core","Adreno","TFT LCD",?,189,166.9,76.8,8.4,128,4,30,6500,"2025-08-07"
"Available","Android","Qualcomm","No","No","Octa-core","Adreno","IPS LCD",360,595,293.9,201.4,5.8,256,8,30,12450,"2025-07-02"
"Available","Android","Qualcomm","Yes","Unspecified","Octa-core","Adreno","IPS LCD",300,525,277.1,179.3,6.3,256,8,?,10100,"2025-05-22"
"Available","Android","Mediatek","Nano","No","Octa-core","Mali-G57","TFT LCD",140,197,164.0,75.6,8.4,128,6,30,6000,"2025-04-03"
"Available","Android","Qualcomm","No","No","Octa-core","Adreno","IPS LCD",460,595,293.9,201.4,5.8,256,12,30,12450,"2025-10-15"
"Available","Android","Qualcomm","Nano","No","Octa-core","Adreno","AMOLED",330,225,163.1,76.6,8.3,256,12,?,10000,"2025-12-26"
"Available","Android","Qualcomm","Nano","No","Octa-core","Adreno","TFT LCD",?,191,166.9,76.8,8.1,256,4,30,5200,"2025-06-01"
"Available","Android","Qualcomm","Nano","No","Octa-core","Adreno","AMOLED",240,209,163.7,76.7,8.0,256,8,30,8000,"2025-04-15"
"Available","Android","Qualcomm","Nano","No","Octa-core","Adreno","TFT LCD",300,208,166.9,76.8,8.2,128,6,30,6500,"2025-09-12"
"Available","Android","Mediatek","Nano","microSDXC","Octa-core","PowerVR","TFT LCD",80,194,163.9,75.8,8.7,64,4,30,5200,"2024-11-01"
"Available","Android","Qualcomm","No","microSDXC","Octa-core","Adreno","IPS LCD",150,365,211.8,124.8,8.0,128,4,30,7020,"2025-07-24"
"Available","Android","Qualcomm","Nano","No","Octa-core","Adreno","LTPO AMOLED",440,212,162.1,75.7,8.6,256,12,?,7200,"2025-04-23"
"Available","Android","Mediatek","Nano","No","Octa-core","Mali-G57","TFT LCD",80,197,164.0,75.6,8.4,128,4,30,6000,"2025-08-08"
"Available","Android","Mediatek","Nano","No","Octa-core","IMG","AMOLED",170,178.5,161.0,74.6,7.3,256,8,30,6000,"2025-04-25"
"Available","Android","Mediatek","Nano","No","Octa-core","Mali-G57","TFT LCD",190,186,167.0,77.0,7.9,128,4,30,5300,"2025-12-15"
"Available","Android","Qualcomm","Nano","No","Octa-core","Adreno","Foldable LTPO OLED",?,204,167.1,75.6,6.9,256,12,?,5500,"2025-08-21"
"Available","Android","Qualcomm","Nano","No","Octa-core","Adreno","AMOLED",310,196,156.3,74.7,7.8,256,12,?,7200,"2025-06-02"
"Available","Android","Mediatek","Nano","No","Octa-core","Mali-G720","AMOLED",330,216,162.1,76.3,8.0,256,12,30,10080,"2026-01-05"
"Available","Android","Qualcomm","Nano","No","Octa-core","Adreno","AMOLED",170,193,161.9,76.1,7.8,128,8,30,8300,"2025-07-15"
"Available","Android","Qualcomm","Nano","No","Octa-core","Adreno","AMOLED",440,201,155.8,74.2,7.8,256,12,?,8000,"2025-11-24"
